time,open,high,low,close,volume
2016-09-29 00:00:00,14700.0,14800.0,14500.0,14500.0,14.46754379
2016-09-30 00:00:00,14500.0,14900.0,14500.0,14900.0,204.66000817
2016-10-01 00:00:00,14900.0,14900.0,14500.0,14500.0,946.0951
2016-10-02 00:00:00,14600.0,14600.0,14600.0,14600.0,0.193
2016-10-03 00:00:00,14700.0,14700.0,14600.0,14600.0,3.5476
2016-10-04 00:00:00,14700.0,15000.0,14700.0,14900.0,1701.0256
2016-10-05 00:00:00,15000.0,15000.0,14800.0,14800.0,3.7232
2016-10-06 00:00:00,14700.0,14700.0,14700.0,14700.0,1.1741
2016-10-07 00:00:00,14900.0,14900.0,14600.0,14600.0,4.3088
2016-10-12 00:00:00,13500.0,14200.0,13400.0,14200.0,205.35938394
2016-10-13 00:00:00,14200.0,14500.0,13700.0,13800.0,467.5523
2016-10-14 00:00:00,13800.0,14900.0,13600.0,14500.0,790.4205908631496
2016-10-15 00:00:00,13900.0,14500.0,13800.0,14300.0,356.1607596168141
2016-10-16 00:00:00,14300.0,14800.0,14200.0,14800.0,45.8111
2016-10-17 00:00:00,15000.0,15000.0,14200.0,14500.0,61.2429
2016-10-18 00:00:00,14700.0,19800.0,14300.0,14600.0,3841.943828188484
2016-10-19 00:00:00,14600.0,14800.0,13600.0,13600.0,5287.179567186791
2016-10-20 00:00:00,13600.0,14300.0,13600.0,14100.0,1404.902965413272
2016-10-21 00:00:00,13900.0,14300.0,13700.0,14200.0,2714.9079
2016-10-22 00:00:00,14100.0,14300.0,13700.0,13900.0,2033.0126
2016-10-23 00:00:00,13700.0,14100.0,13700.0,13900.0,2524.606
2016-10-24 00:00:00,13700.0,14000.0,13500.0,13800.0,2176.024503777995
2016-10-25 00:00:00,13800.0,13900.0,13200.0,13200.0,4467.814052861826
2016-10-26 00:00:00,13200.0,13500.0,12800.0,13400.0,3230.538
2016-10-27 00:00:00,13200.0,13400.0,12900.0,13400.0,9699.065609628487
2016-10-28 00:00:00,13400.0,13500.0,13000.0,13000.0,1233.940109113012
2016-10-29 00:00:00,13000.0,13100.0,12000.0,12500.0,5931.9561
2016-10-30 00:00:00,12000.0,12400.0,12000.0,12400.0,1649.7972
2016-10-31 00:00:00,12300.0,13400.0,12300.0,12400.0,3606.9619
2016-11-01 00:00:00,12500.0,13300.0,11900.0,12800.0,6493.799262516037
2016-11-02 00:00:00,12300.0,12800.0,12100.0,12800.0,1739.1132290283213
2016-11-03 00:00:00,12800.0,13000.0,12100.0,12800.0,2880.8769
